1871	uiuo.ark:/13960/t4gm8r25w	q	pounds	2.0	wages	summertime, they takes notice ; but to a hardworking man's wife two pound is a consideration. I'M sure I beg your parding humbly, miss, if
1807	wu.89098856446	q	pounds	3.0	inheritance	minister as her benefactor, because he procured her a pension ttf three pounds yearly, and allowed her a cottage on his farm for her abode.
1829	hvd.32044009951013	e	none	0.0	nonmonetary	other hands than those of the Commissioners of the Navy four per cents. The worthy veteran continued for years to supply the wants of a
1810	nyp.33433074917679	q	pounds	100.0	inheritance	extinct, fools do so establish posterity. Mr. S has a living of £100. a year, with a prospect of better [ 134 1 preferment. He
1938	00010567	q	pounds	500.0	gift	she had no means of expressing. This woman—he’d offered her five hundred pounds! and she’d refused it.... “It could hardly have ended otherwise,” she approved,
1939	00010570	q	dollars	10000.0	price	shining white teeth he hissed, “His new concubine cost him ten thousand dollars! Only Ministers of Finance can keep buying new concubines!” It was the
1766	uc2.ark:/13960/t3fx7567r	e	none	0.0	nonmonetary	right to cheat, and who was to learn at the usual exr pence the art of fraud. They exposed me to the theft of servants,
1763	mdp.39015065444195	q	pounds	3.15	price	Rapture, when he gave the real Jew his Box, and the Three Guineas which had been paid him for the Pocket Looking glass. And in
1797	njp.32101067498715	q	pounds	100.0	price	13, 1767. I PAID yesterday (by Mr. Becket) a hundred guineas or pounds, 1 forget which, to Mr. Selwin — but you mufi remit to
1910	uc2.ark:/13960/t87h1gq4v	q	dollars	5.0	gift	to the Bluff have took the little girl and we sent five dollars and a letter saying to send the boy to me for the
1935	00010466	q	pounds	3000.0	price	same price I paid when I bought it some years ago—three thousand pounds.” “Three thousand pounds!” said Dr. Fell, violently, and let out a great
1933	00010418	q	dollars	0.05	other	father’s back and at the old tricks. By God, for a plugged nickel I’d go down and beat up the lot of them!” He quieted
1947	00010837	q	dollars	200.0	wages	told me.’ ‘But, Tom, a hundred dollars – now it’s two hundred dollars. You know how long it takes us to earn that!’ Jamison cut
1830	nyp.33433074863634	e	none	0.0	nonmonetary	said ho. u So! Hatchel Sivard, the Page of the Queen's antechamber 9£ DABNLEY. is a pensioned spy of Sir Payan Wileton. Good ! Very
1902	uc2.ark:/13960/t1kh0g38h	e	none	0.0	nonmonetary	they are here, I tell you, with garlands of flowers and immortelle crowns." " Indeed, " replied Maurice, laughing ; " and how many were
1934	00010443	q	dollars	20.0	price	calls fuh more’n talk. Dat calls fuh money.” “How much?” “Twenty odd dollars. ’Cordin’ tuh where at you goin’.” “Where you goin’?” “Tuh uh town
1912	nyp.33433076089709	q	dollars	11.0	capital	come — heavy with the consciousness that in her purse was eleven dollars, and that that was every cent she had in the whole world.
1833	uc2.ark:/13960/t8nc5wb76	q	dollars	10.0	capital	a miser ; seeing, that, although his pocket may be filled with dollars today, it may be emptied by some rascally camp fol lower tomorrow
1857	uiuo.ark:/13960/t6rx9xb52	q	pounds	24.0	rent	the rent and taxes alone came to £24, the servant's wages being £7, they would only have £9 18^. 9</. left for all the other
1790	nyp.33433074918792	e	none	0.0	nonmonetary	upon me, pulled me off my palfrey, me, rifled me, and beat £4 me me moll severely. I. guessed, by the voice of one, of
1859	uc1.b3321365	q	dollars	10.0	capital	one sort or another, if I'Ve got ashore the valie of ten dollars. But Spike carries on business on too large a scale, and many's
1825	uiuo.ark:/13960/t1hh6w59h	q	pounds	10.5	capital	times I have known him come like a lord, and make his guineas fly about like so mvich dust. And once — egad ! I
1855	uc2.ark:/13960/t29885583	q	pounds	0.001	nonmonetary	you can assist me in finding the children, I care not a farthing for him." " What we have told you, " replied Bishop Percy,
1804	mdp.39015063571700	q	pounds	50.0	price	money neither ? — Oh, ho! I shall guess now for fifty pounds; and had I not been an old fool, I might have guessed
1819	uiuo.ark:/13960/t9v12j35h	q	pounds	5000.0	gift	briefly state, that it contained a deed of gift for five thousand pounds, to be paid immediately on demand, with the following : " TO
1925	00010238	q	dollars	5000.0	other	suffered too much.... Not if you came to me with five thousand dollars." "You're a very cruel woman." Madame Rigaud laughed again. "Come along now,
1873	uc2.ark:/13960/t86h4h04p	e	none	0.0	nonmonetary	for the look of the Sorbe and the joy of his followers 11s evil to me. See to it that thou send me 1 1
1782	mdp.39015078565366	q	pounds	0.012	capital	true; and I wondered how I could forbear, when I saw his dimes of the size of a silver threepence, a leg of pork hardly
1877	njp.32101067647147	q	dollars	3000.0	inheritance	property, except a legacy to Jim and Sally, and a few thousand dollars to old Caesar and Nan. Hetty was singularly alone in the world.
1911	mdp.39015003451062	q	pounds	500.0	price	a volume of his Aran stories in America, and made five hundred pounds by the sale of them. 'And what do you think he did
1920	nyp.33433075861959	q	pounds	0.75	capital	into the wrinkled face. He wished he could have explained that fifteen shillings and a return ticket constituted his own entire fortune. It was queer
1924	00010221	q	dollars	1.0	capital	night. You and the kid, see.” Selina stared at the shining round dollar; at Mabel’s face. The quick sting of tears came to her eyes.
1760	uiuo.ark:/13960/t88g98j1p	q	pounds	0.012	capital	to Market, and fo mud give an Account of every Penny and Twopence. I tell you what Ninny ^ had he not been your Brother,
1885	uc2.ark:/13960/t5w66b866	q	pounds	10.0	gift	father, Count Aymon, dubbed me knight. They ought to bring you ten pounds." The old man took the spurs, and put them into his sack,
1948	00010907	q	dollars	80.0	price	now. I wouldn’t be here dickering with you. I’ll give you eighty dollars for the two of them.’ Well, eighty dollars is a good price
1946	00010803	q	dollars	1400.0	capital	Mark said. “That’s about what I figured — thirteen or fourteen hundred dollars. I’ve got some expenses I’ll be paid for, so say two thousand
1761	nnc1.1002351617	e	none	0.0	nonmonetary	receive your ** Addresses f" — -- *" Phoo, interrupted' " Mr. $4 Tfc History os " Mr. Lovegrove, you Women can never *' keep
1827	hvd.32044097914022	q	pounds	0.05	capital	continued Richard. "Then Bess hints that he was reduced to his last shilling, when we took him into our dwelling." "He had been buying tools.
1771	nyp.33433074930292	q	pounds	0.002	other	had I been content with a halfpenny worth, instead of a whole penny worth, I should have been plagued with only half the stink and
1819	mdp.39015065815642	e	none	0.0	nonmonetary	uncle died, did she not urge you to in triijiie tor that crown which she knew ynu had so loyally declmed ? My errand here,
1789	mdp.39015078549691	e	none	0.0	nonmonetary	fe I about a hundred, and put about a ,. * pound pound and an half of powder in each, which took up my whole
1801	uiuo.ark:/13960/t7np2rz8s	e	none	0.0	nonmonetary	and in all probability would have been wedded to an Englishman, ., £82 ST. Margaret's cave; lishman, she could have no proper use for more
1943	00010717	e	none	0.0	nonmonetary	might just as well have been in the 1820's instead of the 1920's. He was a master of modern machinery, a lord of the airways,
1842	hvd.hn3a73	e	none	0.0	nonmonetary	"Why, they take some charcoal, and some sulphur, and some saltpetre, and pound it up together, and it makes gunpowder." "That's what I'Ll do with
1792	mdp.39015078572503	q	pounds	0.001	nonmonetary	Ro binlon Crusoe. But, my man, your umbrella is not worth a farthing. Eiiw. Oh, papa, I only make (hist with this for the present,
1881	nyp.33433074861687	q	pounds	0.125	gift	this brief delay had been inevitable. He offered the man half a crown, but this he refused indignantly, and said, "Tak'this muckle stick in yer
1767	mdp.39015031099743	q	pounds	21.0	inheritance	was now at the very pinnacle of human happiness. I had twenty guineas left of the fifty I got from my father. My wife earned
1922	mdp.39015064503405	q	dollars	0.1	capital	was for this, then, that my aunt had piled up penny on penny, mark on mark, had figured and done usury, systematically exploited the misery
1779	hvd.hn2hd2	e	none	0.0	nonmonetary	nature will admit, and concludes his life, with assurances of receiving a crown of never fading laurel, as the reward of his fortitude and perseverance.
1789	nyp.33433074916440	q	pounds	21.0	gift	hold two; I very well knew if I gave the rascals twenty guineas, they would hanker after the one they missed; and moreover, in such
1788	nyp.33433074911532	e	none	0.0	nonmonetary	illusions to lead me on to this. "; .. . ' conviction!. $3 EMMEtINE, " conviction ! But pray forgive me, lovely Miss Mowbray !
1914	loc.ark:/13960/t16m3c69v	e	none	0.0	nonmonetary	for moose, bear, or 1 Taken from "Memoirs of John Giles, " 16SS: p. 45. 115 whatever creature they desired, and if they (Hd hut
1778	nyp.33433075987150	e	none	0.0	nonmonetary	to the common stock, and was obliged to send every month, sive pounds of cheese, a bushel of meal, eight gallons of wine, two pounds
1855	uc1.b287360	q	pounds	20.0	price	demanded; and after much parleying, the infant Spatchcock was appraised at twenty pounds sterling, and the missing habe born in triumph from its heartless custodians.
1859	uc1.b281967	q	dollars	0.75	tax	your annual tax ? KING. seventy-five cents. poll tax ain't but fifty cents in Georgy. Reader, this man is one of the sovereigns of the
1810	uc2.ark:/13960/t6tx35s35	e	none	0.0	nonmonetary	bewildered senses : 11 Werter !" I said, with a tremulous ac cent but he pressed me to his bosom ; raising myself, and turning
1891	uc1.b250226	q	pounds	1000.0	capital	reality. I believe, because a London solicitor has advanced me a thousand pounds with no better security than my expectations. I have not sold my
1905	nyp.33433074935317	q	dollars	0.01	idiom	"I'Ll see him in h — 11 before I'D give him a cent." " But you'd give him the hundredth acre, " I retorted coolly.
1760	mdp.39015027523177	q	pounds	3.15	capital	FULL of this opinion, she put up her cloth?,. took a few guineas with her, and one moon shining night, when everything seemed as if
1835	hvd.hnn8c9	q	pounds	700.0	price	Earl of Chatham, of which only the small sum of seven hundred pounds was demanded and paid for the permission of the right reverend mightinesses
1876	uc2.ark:/13960/t0js9jd41	e	none	0.0	nonmonetary	the way in which Bugle used the brush, the quality of the shilling serial mistakenly written for her amusement, the probabilities of the coming day,
1877	nyp.33433076021561	q	pounds	1000.0	price	its stead take the marriage lines. If it were worth a thousand pounds, I would rather have the lines." "A thousand pounds! Why, lass, what
1940	00010617	q	dollars	1.0	gift	a message for you this very night.' 'Does the Lord remember that dollar I gave you last week?' 'Jesus has a message for you at
1929	00010306	q	dollars	0.01	gift	to give away nothing. Nothing! Not an old dress, not a bad penny, not even a kiss.” “Anybody could have given you that advice,” Mr.
1882	nyp.33433075861827	e	none	0.0	nonmonetary	duty to come forward and stretch out thy hand for these two crowns, which have more thorns than jewels in them. Alas! would that I
1842	hvd.32044051764595	q	dollars	0.01	gift	stumper is as stiff backed as a miser, and wont bate a penny. I'M almost driven mad to hear his impudence, — ' you can
1867	uc2.ark:/13960/t4rj4g518	q	pounds	200.0	price	knew I wanted two hundred, " said Gauntwolf. " ' Two hundred pounds, ' " read Mrs. Gauntwolf, "'value received.'' Is that the way they
1837	uiuo.ark:/13960/t3pv73d35	q	pounds	0.05	idiom	; if it pleased you to die tomorrow, the devil of a shilling have I to jingle on your tombstone for good luck, bating those
1863	uc2.ark:/13960/t22b8xs3c	q	pounds	20.0	capital	three morning, two dress coats; in fact, a complete wardrobe; and twenty pounds or so I really forget how much exactly that I had left
1947	00010853	e	none	0.0	nonmonetary	ship at the time and you come out with your thrust in pounds.” Cargraves hesitated. The boy’s mistake was so obvious and yet so easy
1817	mdp.39015014117694	e	none	0.0	nonmonetary	pre sented to herself and daughters, and she THE PASTOR's flre side. £5? Would give the letter to Louis in the morning. Then, as was
1816	njp.32101038161665	e	none	0.0	nonmonetary	her : underneath were these words, " A virtuous woman is a crown to her husband." When Catherine read these words, she could not help
1817	uc1.b250147	e	none	0.0	nonmonetary	expresses a noble mind; and without such an expression, the finest 8 35S THE PASTOR's F1RE side. features in the world would want the soul
1911	coo.31924013605963	q	pounds	30000.0	capital	Court of Chancery had no fault to ﬁnd with the owner of £30,000 a year, and Elizabeth Denys in due course became Mrs. Christopher Thorverton,
1928	00010298	e	none	0.0	nonmonetary	with it. What’s the separate mystery of the watch in the pitcher?” “Quid pro quo,” said Kee, smiling at me. “You tell me what you’re
1776	mdp.39015011399253	e	none	0.0	nonmonetary	has suitable marks of diflinciion paid him on public occasions, as garland?, crowns, acclamations, songs, or hymns, in his praise, 6c. It is incredible how
1893	uc2.ark:/13960/t9q23rs1h	q	dollars	0.01	idiom	and still. A penny for your thoughts." " They'Re not worth a penny, papa, " she said laughingly, laying her head on his shoulder and
1799	mdp.39015021305167	e	none	0.0	nonmonetary	fat and wept with her. Agnes was more erroneously officious. CHAR C £19 ) CHAP. IX. *1' Over him, whose doom thy virtues grieve, Aerial
1752	nyp.33433074948559	e	none	0.0	nonmonetary	me, and confess, that nothing could be more unsortunate, than that damned £1 p I made at the latter End of my History: But sor
1753	mdp.39015078548636	e	none	0.0	nonmonetary	more established his Majesty in his Subject's Affections, than ten Times the.ex pence, bestowed on any other Method that could have been conceived. When Matters
1922	uc2.ark:/13960/t75t3hc6q	e	none	0.0	nonmonetary	borders there might be a bird able to take away Timoteo s crown. Hu man beings are prone to grow extravagant in their speech regarding
1802	nyp.33433074954961	e	none	0.0	nonmonetary	view, is imposing; but it soon appears that her. manners' are CS 5S HOME. vulgar, and her capacity mean; nor has he been able to
1872	dul1.ark:/13960/t91842b05	q	pounds	50.0	inheritance	a substantial sum of money : Gander had a legacy of fifty pounds a year for life. And Tom — Tom was left residuary legatee,
1803	uiuo.ark:/13960/t0bv84w96	q	pounds	0.024	wages	forne purpose all this time if it will get him a few pence, poor fellow ! I am fare your heart would have ached as
1807	njp.32101068353554	q	dollars	1.0	price	nine sent him back the work, and the tenth offered him a dollar for it. He now knew of no other means, and fell into
1902	mdp.39015065541040	e	none	0.0	nonmonetary	as if the under growths were being trodden by a locomotive. There 33s be mtn&reb ot the was grim omen in the sounds; and the
1898	uc1.b3039207	e	none	0.0	nonmonetary	State. The instincts of maternity were in the ascendant, and what were crowns and kingdoms in comparison with that little pink morsel of humanity lying
1806	uc1.b250212	q	pounds	100.0	debt	discharge "my " debt; it is, I believe, about a hundred ** crowns'." " Besides what you have already paid ?" said the chevalier rising.
1781	mdp.39015078572255	e	none	0.0	nonmonetary	his h?m4s* ths in less, thfln ^ quarter of an hour both 4Q3d bodies wej; e buried. Upon which they both went towards RoBi$fsqtf s
1947	00010863	q	pounds	750.0	price	upon the whole play its seal of historical significance. “ ‘Three thousand crowns and a week or so of available time would not have been
1900	uva.x000362635	q	dollars	40000.0	loan	make the election of his candidate more certain. 391 The loan of $40,000 was completed within forty eight hours, and before the end of another
1887	uc2.ark:/13960/t3jw86z2k	q	dollars	0.01	idiom	coming in tomorrow. And at the same time you felt that every cent of whatever might be tomorrow's dues would find its way to his
1814	uva.x004786557	q	pounds	0.004	gift	at all, nor any tiling to eat. Shall we give hiin a penny? Yes. Go then and give it him.' s^srsr^r r* It is' dark.
1929	00010317	q	dollars	250.0	gift	the next day the String Bean took the two hundred and fifty dollars which was Uncle Henry’s annual Christmas gift to him—“Not to spend. To
1824	mdp.39015003856351	q	pounds	0.1	price	and I was soon after left * A real is about two shillings — eight reals one tomauu. ** by the rest of the company
1905	mdp.39015063941267	q	dollars	600.0	price	young man's feet. " Ought to be — cost me six hundred dollars ! " said Julius. " Lo ! — my Heabenly Friend !"
1781	nyp.33433082193586	e	none	0.0	nonmonetary	slave on earth. ANTI. ANTILOCHUS. What is to be done ? it 4s the, law of nature that all must, die, you should submit to
1807	uiuo.ark:/13960/t98634x54	q	pounds	1050.0	bet	against time Our hero had undertaken, for a wager of one thousand guineas, to walk from a given point at Pimlico, to 90 Datchet Bridge,
1829	njp.32101068171386	q	pounds	0.001	idiom	be shot; so that if you have a mind to make a penny you can take me; for there's no doubt but a large reward
1752	nyp.33433068198260	e	none	0.0	nonmonetary	of her a golden Chariot drawn by six great Hens with cope Crowns. A Cock was the Coachmari, and a sat Hen the Postilion. In
1777	njp.32101037021589	q	pounds	0.024	gift	of the hill. He bowed to the gentleman in black who put sixpence into the hat, and dropped a tear into the bargain. I bid
1766	nnc1.1002347725	q	pounds	21.0	gift	And after much debate, this affectionate friend infilled on my receiving twenty guineas a year from her in cafe my affairs continue in the same
1930	00010332	q	dollars	200.0	loan	City from my cousin Harriet. Five years ago she borrowed two hundred dollars off us when she was about to lose her place that was
1894	nyp.33433074861737	q	pounds	100.0	idiom	over there looking like a saint — my brother's worth a hundred pounds to me, any day, in respectability. He is so brilliantly ugly. Oh,
1925	00010249	q	dollars	1.0	gift	man or two." McGuire got up from his chair and laid a dollar on the table. "Here's a dollar; you eat chowder till I get
1864	nyp.33433076060858	q	pounds	30.0	inheritance	or starving, I don't know which you would call it, on thirty pounds a year." Mr. Carlisle entered into the subject; and questions moral, legislative,
1850	njp.32101068588803	q	pounds	0.5	gift	lady had sent some money to her, and he gave her five shillings then and five shillings at another time; and as much at three
1815	mdp.39015064002721	e	none	0.0	nonmonetary	with Arragon, as may give to Castille the support of two united crowns." "United crowns they will be, " said Don Manuel, "if the terms
1844	uiuo.ark:/13960/t0gt6654b	q	pounds	1000.0	capital	Vow, that if this thing happen as you have said, a thousand pounds' weight of virgin gold shall be yours, if all my lands and
1905	uc2.ark:/13960/t9f47jx5g	q	pounds	40.0	idiom	my ability has not been equal to my desire by about forty pounds." "The appreciation of your lack of avoirdupois would seem to be the
1758	mdp.39015065793286	q	pounds	250.0	wages	the Brutality if you ' please) I will give you a thousand Crowns a • Month; by Way of Preliminary I here send you '
1948	00010890	e	none	0.0	nonmonetary	scale. He stood still, and the sound held steady; again toward the dollar and the wail of the box slid up and up until, held
1829	nyp.33433074868203	e	none	0.0	nonmonetary	the •^oil, or wafted away by the winds. CHAPTER VI. PRAYERS . 5s, I believe, no class of men professing the Protestant faith, so truly
1949	00010946	q	dollars	0.1	capital	and again before he was ready…first for his handkerchief, then for his dime, then for his lesson book, and then for his hat. “He hasn’t
1866	uva.x000675193	e	none	0.0	nonmonetary	Kitchen Utensils, with Pots, Kettles, Pewter, Brass, rv. and near an hundred Pound more in Ironwork, Nails, Tools of every Kind, Staples, Hooks, Hinges, and
1851	uiuo.ark:/13960/t8w95jg8t	q	pounds	70.0	income	the duty himself; consequently, he keeps a curate, and gives him seventy pounds a year; out of which snug little income he has to support
1853	uiuo.ark:/13960/t76t15w5c	q	dollars	10.0	debt	n. F " Well now, Battersby, do you count out as many dollars as you owe that base fellow ; and I will send them
1895	inu.30000011866112	q	pounds	50.0	gift	"and, failing that, two horses, two suits of clothes, and two hundred crowns." "You think that those will suffice?" T said, laughing. "With this, sir,
1853	njp.32101068178506	e	none	0.0	nonmonetary	for the prohibition that raised a barrier between herself and Bryant Clinton. 18S One moment she resolved to rush downstairs and give ut tcrance to
1830	inu.30000079479717	q	pounds	0.05	price	you do; but that's not much matter. We don't ask half a guinea, like some folks — what can you expect for a shilling?" "
1759	mdp.39015063691136	e	none	0.0	nonmonetary	of N 6 * Chair " Chains, offer brr a Throne and Crowns; if she *' resuses these, let me entreat you rather than keep
1914	uc1.b4853663	q	dollars	0.01	idiom	will I say about the kicking, and will lay down, moreover, every penny of the price you name; as for biting, though some would say
1932	00010386	q	dollars	82.0	capital	September sixth she had drawn a check for the amount of five dollars to Anise Halloran, lowering her account from eighty-seven dollars to eighty-two. “And
1887	mdp.39015030932241	q	dollars	0.01	idiom	an' keeps the springs from gittin' too dry. I wouldn't give a cent to live in a climate where there was no rain. Put me
1854	uiuo.ark:/13960/t99604x8r	q	pounds	0.025	gift	was great. One thing is certaia: that flinging his tormentors half a crown apiece, he drove back to London, determined, for the health of his
1923	wu.89015458474	q	pounds	3000.0	debt	years old, had confessed to his uncle that he owed several thousand francs in gambling debts. The elder man thereupon conceived a violent antipathy for
1831	uiuo.ark:/13960/t88g94f3n	q	pounds	0.024	idiom	lover : he didn't, however, turn out very well, for he hadn't sixpence; and, of course, our eldest daughter couldn't have nothing to say to
1765	nyp.33433074909932	q	pounds	0.25	price	then, if I carry you to Colchester, it will be worth sive Shillings for myself and my Horse, for I shall hardly come back to
1756	nnc1.0315301591	q		375.0	price	had a Friend who would that very Night give him five hundred Crowns, and when he delivered her into his Hands, a thousand more; she
1937	00010532	q	dollars	9000.0	capital	less. I got these figures together this morning. You’ve advanced nine thousand dollars of the fifteen thousand contemplated as your capital contribution. It has gone
1807	uiuo.ark:/13960/t6931h959	q	pounds	10.0	gift	them; that • two 64 two of the books, containing a ten pound note each, should be a present from her to the two girls
1833	njp.32101068169588	q	dollars	3.0	gift	glad to see you, and you must take these two or three dollars from your old officer." " I am still a soldier, " said
1882	nyp.33433082548235	q	pounds	50.0	capital	Look here, sir, " Jack said; " you know I'Ve over fifty pounds laid by — and money can't be better spent than for the
1815	uc1.b254258	q	pounds	0.004	idiom	was a little behind last time, but all's paid up to a penny, and that's more than your tradesmen can say, the the worse luck
1805	dul1.ark:/13960/t89g6ct7k	e	none	0.0	nonmonetary	with me this morning — Why do you D 3 keep ( 3$ ) keep the newspaper all to yourself, my dear ? Here it
