idcode,date,wordcount,author,title
00010274,1927,170802,"Rolvaag, Ole",Giants in the earth
00010275,1927,222244,"Sinclair, Upton",Oil!
00010276,1927,50344,"Tully, Jim",Circus parade
00010277,1927,83645,"Van Dine, S. S",The Canary murder case
00010278,1927,47524,"Van Dyke, Henry",Fisherman's luck and some other uncertain things
00010279,1927,83860,"Wharton, Edith",Twilight sleep
00010280,1927,42623,"Wilder, Thornton",The bridge of San Luis Rey
00010281,1927,47699,"Yezierska, Anzia",Arrogant beggar
00010282,1928,28074,"Barnes, Djuna",Ladies almanack
00010283,1928,77010,"Biggers, Earl Derr",Behind that curtain
00010284,1928,70330,"Burroughs, Edgar Rice",Tarzan: lord of the jungle
00010285,1928,92203,"Echols, Ula Waterhouse",Knights of Charlemagne
00010286,1928,62785,"Esteven, John",The door of death
00010287,1928,67060,"Garrett, Garet",The American omen
00010288,1928,40898,"Gibran, Kahlil",Jesus the Son of man
00010289,1928,98723,"Hill, Grace Livingston",Blue ruin
00010290,1928,73846,"Hill, Grace Livingston",Crimson roses
00010291,1928,91018,"Kantor, MacKinlay",Diversey
00010292,1928,90503,"Keeler, Harry Stephen",Sing Sing nights
00010293,1928,46579,"Larsen, Nella",Quicksand
00010294,1928,57196,"McKay, Claude",Home to Harlem
00010295,1928,28856,"Nathan, Robert",The bishop's wife
00010296,1928,47637,"Rinehart, Mary Roberts",Two flights up
00010297,1928,46372,"Tully, Jim",Shanty Irish
00010298,1928,67526,"Wells, Carolyn",Deep-Lake mystery
00010299,1928,98005,"Wharton, Edith",The children
00010300,1929,98404,"Austin, Anne",The black pigeon
00010301,1929,79744,"Burroughs, Edgar Rice",Tanar of Pellucidar
00010302,1929,58035,"Burroughs, Edgar Rice",The monster men
00010303,1929,109952,"Faulkner, William",The sound and the fury
00010304,1929,78855,"Footner, Hulbert",A self-made thief
00010305,1929,55240,"Gissing, George",Eve's Ransom
00010306,1929,101431,"Glasgow, Ellen Anderson Gholson",They stooped to folly
00010307,1929,70102,"Hammett, Dashiell",The Dain curse
00010308,1929,103248,"Hill, Grace Livingston",The prodigal girl
00010309,1929,108721,"Keeler, Harry Stephen",The spectacles of Mr. Cagliostro
00010310,1929,51584,"Kline, Otis Adelbert",The planet of peril
00010311,1929,65190,"La Farge, Oliver",Laughing Boy
00010312,1929,138817,"Lewis, Sinclair",Dodsworth
00010313,1929,80175,"Lovelace, Maud Hart",Early candlelight
00010314,1929,85110,"Meigs, Cornelia",Master Simon's garden
00010315,1929,103477,"Nordhoff, Charles",Falcons of France
00010316,1929,95859,"Queen, Ellery",The Roman hat mystery
00010317,1929,65979,"Rinehart, Mary Roberts",The romantics
00010318,1929,118355,"Smedley, Agnes",Daughter of earth
00010319,1929,71734,"Smith, Thorne",The stray lamb
00010320,1929,83665,"Steinbeck, John",Cup of Gold
00010321,1929,54766,"Thurman, Wallace",The blacker the berry
00010322,1929,171093,"Wharton, Edith",Hudson river bracketed
00010323,1929,220303,"Wolfe, Thomas",Look homeward: angel
00010324,1930,53531,"Buck, Pearl S.",East wind: west wind
00010325,1930,85727,"Burroughs, Edgar Rice",A fighting man of Mars
00010326,1930,133565,"Dos Passos, John",The 42nd parallel
00010327,1930,62241,"Esteven, John",Voodoo
00010328,1930,63269,"Faulkner, William",As I lay dying
00010329,1930,106946,"Ferber, Edna",Cimarron
00010330,1930,69205,"Hammett, Dashiell",The Maltese falcon
00010331,1930,96582,"Hill, Grace Livingston",Ladybird
00010332,1930,77495,"Hill, Grace Livingston",The gold shoe
00010333,1930,78669,"Hughes, Langston",Not without laughter
00010334,1930,102481,"Keeler, Harry Stephen",The amazing web
00010335,1930,88832,"Keeler, Harry Stephen",The fourth king
00010336,1930,52690,"Kline, Otis Adelbert",Maza of the moon
00010337,1930,54877,"Kline, Otis Adelbert",The prince of peril
00010338,1930,20684,"Mackenzie, Jean Kenyon",The trader's wife
00010339,1930,92481,"Queen, Ellery",The French powder mystery
00010340,1930,83802,"Roberts, Elizabeth Madox",The great meadow
00010341,1930,84271,"Wilder, Thornton",The woman of Andros
00010342,1931,51233,"Armer, Laura Adams",Waterless mountain
00010343,1931,128130,"Buck, Pearl S.",The good earth
00010344,1931,74830,"Cather, Willa",Shadows on the rock
00010345,1931,71166,"Dutton, Charles J. 1888-  (Charles Judson)",Murder in a library
00010346,1931,109894,"Faulkner, William",Three famous short novels
00010347,1931,89982,"Fauset, Jessie Redmon",The chinaberry tree
00010348,1931,77799,"Ferber, Edna",American beauty
00010349,1931,83564,"Gibbs, Sally",Beauty for ashes
00010350,1931,65869,"Hammett, Dashiell",The glass key
00010351,1931,90232,"Hill, Grace Livingston",Kerry
00010352,1931,68467,"Hill, Grace Livingston",Silver wings
00010353,1931,72427,"Hill, Grace Livingston",The chance of a lifetime
00010354,1931,156922,"Hurst, Fannie",Back street
00010355,1931,64319,"Leinster, Murray",Murder madness
00010356,1931,51050,"March, William",Company K
00010357,1931,94856,"Merritt, Abraham",The face in the abyss
00010358,1931,78613,"Palmer, Stuart",The penguin pool murder
00010359,1931,74045,"Queen, Ellery",The Dutch shoe mystery
00010360,1931,118058,"Roberts, Kenneth Lewis",The Lively lady
00010361,1931,53791,"Schuyler, George S.",Black no more
00010362,1931,93119,"Smith, Thorne",The night life of the gods
00010363,1931,84063,"Smith, Thorne",Turnabout
00010364,1931,103294,"Tarkington, Booth",The gentlemen from Indiana
00010365,1931,78090,"Taylor, Phoebe Atwood",The Cape Cod mystery
00010366,1931,71995,"Tully, Jim",Blood on the moon
00010367,1931,18102,"West, Nathanael",The dream life of Balso Snell
00010368,1931,68198,"Whitfield, Raoul",Death in a bowl
00010369,1932,97493,"Austin, Anne",One drop of blood
00010370,1932,277656,"Broch, Hermann",The sleepwalkers
00010371,1932,279144,"Buck, Pearl S.",Sons
00010372,1932,60960,"Burroughs, Edgar Rice",Pirates of Venus
00010373,1932,76028,"Burroughs, Edgar Rice",Tarzan triumphant
00010374,1932,60995,"Caldwell, Erskine",Tobacco road
00010375,1932,40608,"Cather, Willa",Obscure destinies
00010376,1932,152855,"Cather, Willa",The song of the lark
00010377,1932,154947,"Dos Passos, John",1919
00010378,1932,351318,"Farrell, James T.",Studs Lonigan
00010379,1932,72310,"Farrell, James T.",Young Lonigan
00010380,1932,152151,"Faulkner, William",Light in August
00010381,1932,74295,"Fitzgerald, Zelda",Save me the waltz
00010382,1932,41978,"Hemingway, Ernest",Men without women
00010383,1932,95330,"Hill, Grace Livingston",Happiness hill
00010384,1932,318242,"Keeler, Harry Stephen",The box from Japan
00010385,1932,83063,"Merritt, Abraham",Dwellers in the mirage
00010386,1932,73009,"Palmer, Stuart",Murder on the blackboard
00010387,1932,94756,"Queen, Ellery",The Egyptian cross mystery
00010388,1932,110826,"Queen, Ellery",The Greek coffin mystery
00010389,1932,87497,"Smith, Thorne",The bishop's jaegers
00010390,1932,87742,"Smith, Thorne",Topper takes a trip
00010391,1932,48169,"Snell, Roy J",Riddle of the storm
00010392,1932,73438,"Steinbeck, John",The Pastures of heaven
00010393,1932,56761,"Thurman, Wallace",Infants of the spring
00010394,1932,44853,"Tully, Jim",Laughter in hell
00010395,1933,51535,"Brand, Max",Silvertip's search
00010396,1933,51635,"Brand, Max",The false rider
00010397,1933,54047,"Brand, Max",The man from Mustang
00010398,1933,52353,"Brand, Max",The stolen stallion
00010399,1933,50803,"Brand, Max",Valley thieves
00010400,1933,72051,"Burroughs, Edgar Rice",Apache devil
00010401,1933,63434,"Cain, Paul",Fast one
00010402,1933,68799,"Caldwell, Erskine",God's little acre
00010403,1933,95480,"Endore, S. Guy",The werewolf of Paris
00010404,1933,90112,"Fauset, Jessie Redmon",Comedy: American style
00010405,1933,111526,"Fitzgerald, F. Scott",Tender is the night
00010406,1933,43440,"Foster, James H",Lost in the wilds of Brazil
00010407,1933,81471,"Hill, Grace Livingston",Matched pearls
00010408,1933,77712,"Hill, Grace Livingston",The beloved stranger
00010409,1933,76440,"Hill, Grace Livingston",The ransom
00010410,1933,58130,"Jenkins, Will",Mexican trail
00010411,1933,49278,"Keeler, Harry Stephen",The Washington square enigma
00010412,1933,32894,"Nathan, Robert",One more spring
00010413,1933,89429,"Palmer, Stuart",The puzzle of the pepper tree
00010414,1933,81404,"Paterson, Isabel",Never ask the end
00010415,1933,67352,"Patrick, Q",Murder at Cambridge
00010416,1933,84262,"Queen, Ellery",The American gun mystery
00010417,1933,76302,"Queen, Ellery",The Siamese twin mystery
00010418,1933,119275,"Rinehart, Mary Roberts",The album
00010419,1933,256692,"Roberts, Kenneth Lewis",Rabble in arms
00010420,1933,82540,"Smith, Thorne",Rain in the doorway
00010421,1933,36403,"Steinbeck, John",The red pony
00010422,1933,87863,"Steinbeck, John",To a god unknown
00010423,1933,20951,"Thurber, James",My life and hard times
00010424,1933,70114,"Van Dine, S. S",The kennel murder case
00010425,1933,76375,"West, Nathanael",Miss Lonelyhearts
00010426,1934,85019,"Appel, Benjamin",Brain guy
00010427,1934,33214,"Arlen, Michael",Hell! said the Duchess
00010428,1934,51027,"Baldwin, Faith",Innocent bystander
00010429,1934,48443,"Brand, Max",Valley of vanishing men
00010430,1934,35601,"Cain, James M.",The postman always rings twice
00010431,1934,120936,"Cantwell, Robert",The land of plenty
00010432,1934,83885,"Carr, John Dickson",The blind barber
00010433,1934,50058,"Coe, Charles Francis",Ransom
00010434,1934,97269,"Collier, John",Defy the foul fiend: or: The misadventures of a heart
00010435,1934,84595,"Dickson, Carter",The Plague court murders
00010436,1934,56914,"Eberhart, Mignon Good",The cases of Susan Dare
00010437,1934,74225,"Faulkner, William",The Unvanquished
00010438,1934,69369,"Gardner, Erle Stanley",The case of the lucky legs
00010439,1934,59646,"Hammett, Dashiell",The thin man
00010440,1934,82933,"Hill, Grace Livingston",Amorelle
00010441,1934,83936,"Hill, Grace Livingston",Rainbow cottage
00010442,1934,91163,"Hill, Grace Livingston",The Christmas bride
00010443,1934,65933,"Hurston, Zora Neale",Jonah's gourd vine
00010444,1934,59824,"Johnson, Josephine Winslow",Now in November
00010445,1934,132673,"Kantor, MacKinlay",Long remember
00010446,1934,78074,"Merritt, Abraham",Creep: shadow!
00010447,1934,49235,"North, Sterling",Plowing on Sunday
00010448,1934,84034,"O'Hara, John",Appointment in Samarra
00010449,1934,92732,"Palmer, Stuart",The puzzle of the silver Persian
00010450,1934,93304,"Paterson, Isabel",The golden vanity
00010451,1934,89655,"Queen, Ellery",The adventures of Ellery Queen
00010452,1934,71401,"Queen, Ellery",The Chinese orange mystery
00010453,1934,77972,"Rinehart, Mary Roberts",The state vs. Elinor Norton
00010454,1934,88695,"Roberts, Kenneth Lewis",Captain Caution
00010455,1934,162981,"Roth, Henry",Call it sleep
00010456,1934,88417,"Shay, Frank",Pirate wench
00010457,1934,99903,"Slesinger, Tess",The unpossessed
00010458,1934,68251,"Smith, Thorne",The glorious pool
00010459,1934,76471,"Stout, Rex",The president vanishes
00010460,1934,78806,"Teilhet, Darwin L.",The talking sparrow murders
00010461,1934,67429,"Wilder, Thornton",Heaven's my destination
00010462,1934,265140,"Wolfe, Thomas",You can't go home again
00010463,1934,141095,"Young, Stark",So red the rose
00010464,1935,139012,"Buck, Pearl S.",A house divided
00010465,1935,49629,"Caldwell, Erskine",Journeyman
00010466,1935,89628,"Carr, John Dickson",Death-watch
00010467,1935,57193,"Cather, Willa",Lucy Gayheart
00010468,1935,70472,"Coxe, George Harmon",Murder with pictures
00010469,1935,124995,"Davis, William Stearns",A victor of Salamis
00010470,1935,77850,"Eberhart, Mignon Good",Fair warning
00010471,1935,89806,"Faulkner, William",Pylon
00010472,1935,142353,"Ferber, Edna",Come and get it
00010473,1935,64677,"Gardner, Erle Stanley",The case of the caretaker's cat
00010474,1935,75059,"Johnson, James W. 1885-  (James William)",The Bitterroot trail
00010475,1935,17988,"Kantor, MacKinlay",The voice of Bugle Ann
00010476,1935,135161,"Lewis, Sinclair",It can't happen here
00010477,1935,72913,"Marquis, Don",The lives and times of archy & mehitabel
00010478,1935,29930,"McCoy, Horace",They shoot horses: don't they?
00010479,1935,90256,"O'Hara, John",Butterfield 8
00010480,1935,63936,"Steinbeck, John",Tortilla flat
00010481,1935,52990,"Tully, Jim",Ladies in the parlor
00010482,1935,395180,"Wolfe, Thomas",Of time and the river
00010483,1936,54142,"Barnes, Djuna",Nightwood
00010484,1936,45210,"Blank, Clair",The adventure girls at K Bar O
00010485,1936,30273,"Cather, Willa",Not under forty
00010486,1936,84104,"Disney, Dorothy Cameron",Death in the back seat
00010487,1936,179760,"Dos Passos, John",The big money
00010488,1936,138561,"Faulkner, William","Absalom, Absalom!"
00010489,1936,84455,"Flint, Margaret",The old Ashburn place
00010490,1936,82540,"Gellhorn, Martha",The trouble I've seen
00010491,1936,86315,"Hill, Grace Livingston",April gold
00010492,1936,80178,"Hill, Grace Livingston",The substitute guest
00010493,1936,54972,"Jenkins, Will",Black Sheep
00010494,1936,66269,"Latimer, Jonathan",Murder in the madhouse
00010495,1936,75661,"Latimer, Jonathan",The lady in the morgue
00010496,1936,63526,"Lyman, Albert R.",The Voice of the intangible
00010497,1936,426938,"Mitchell, Margaret",Gone with the wind
00010498,1936,31525,"Nathan, Robert",The enchanted voyage
00010499,1936,38683,"Otero, Nina",Old Spain in our Southwest
00010500,1936,87110,"Palmer, Stuart",The puzzle of the red stallion
00010501,1936,65694,"Powell, Dawn",Turn: magic wheel
00010502,1936,84393,"Queen, Ellery",Half-way house
00010503,1936,173317,"Rand, Ayn",We the living
00010504,1936,136819,"Schulberg, Budd",The Disenchanted
00010505,1936,167950,"Singer, Israel Joshua",The brothers Ashkenazi
00010506,1936,44722,"Snell, Roy J.",Red Dynamite
00010507,1936,105416,"Steinbeck, John",In dubious battle
00010508,1936,80909,"Stout, Rex",The rubber band
00010509,1936,79303,"Teilhet, Darwin L.",The feather cloak murder
00010510,1936,61810,"Wharton, Edith",The world over
00010511,1936,78585,"Wright, Richard",Uncle Tom's children
00010512,1937,6048,"BenÈt, Stephen Vincent",The devil and Daniel Webster
00010513,1937,67111,"Brand, Millen",The outward room
00010514,1937,130225,"Bristow, Gwen",Deep summer
00010515,1937,153868,"Cain, James M.",Serenade
00010516,1937,83457,"Carr, John Dickson",The burning court
00010517,1937,65916,"Fast, Howard",Place in the city
00010518,1937,130418,"Gordon, Caroline",None shall look back
00010519,1937,55771,"Hemingway, Ernest",To have and have not
00010520,1937,76965,"Hubbard, L. Ron",Buckskin brigades
00010521,1937,71201,"Hurston, Zora Neale",Their eyes were watching God
00010522,1937,296450,"Levin, Meyer",The old bunch
00010523,1937,42175,"Maxwell, William",They came like swallows
00010524,1937,55475,"McCoy, Horace",No pockets in a shroud
00010525,1937,78737,"Palmer, Stuart",The puzzle of the blue banderilla
00010526,1937,111494,"Pseudoman, Akkad",Zero to eighty
00010527,1937,71335,"Queen, Ellery",The door between
00010528,1937,91900,"Rinehart, Mary Roberts",Married people
00010529,1937,67018,"Rinehart, Mary Roberts",Tish marches on
00010530,1937,70245,"Sinclair, Upton",The flivver king
00010531,1937,36616,"Steinbeck, John",Of mice and men
00010532,1937,75737,"Stout, Rex",The hand in the glove
00010533,1937,77551,"Stout, Rex",The red box
00010534,1937,73631,"Taylor, Phoebe Atwood",Beginning with a bash
00010535,1937,61113,"Tully, Jim",The bruiser
00010536,1937,112068,"Weidman, Jerome",I can get it for you wholesale
00010537,1938,100893,"Agee, James",A death in the family
00010538,1938,65352,"Baker, Dorothy",Young man with a horn
00010539,1938,17349,"Brandeis, Madeline",Little Erik of Sweden
00010540,1938,132400,"Bristow, Gwen",The handsome road
00010541,1938,121810,"Buck, Pearl S.",This proud heart
00010542,1938,58157,"Burroughs, Edgar Rice",The lad and the lion
00010543,1938,78368,"Carr, John Dickson",To wake the dead
00010544,1938,80128,"Dickson, Carter",The Judas window
00010545,1938,64625,"Eberhart, Mignon Good",Hasty wedding
00010546,1938,133628,"Ellsberg, Edward",Hell on ice
00010547,1938,60999,"Fante, John",Wait until spring: Bandini
00010548,1938,76681,"Haycox, Ernest",Man in the saddle
00010549,1938,50755,"King, Sherwood",If I die before I wake
00010550,1938,62382,"Latimer, Jonathan",The dead don't care
00010551,1938,67111,"McCloy, Helen",Dance of death
00010552,1938,41534,"McCoy, Horace",I should have stayed home
00010553,1938,71291,"Mitchell, Joseph",My ears are bent
00010554,1938,57559,"Nabokov, Vladimir Vladimirovich",Laughter in the dark
00010555,1938,15518,"Nathan, Robert",Journey of Tapiola
00010556,1938,101759,"Nelson, Ira Stephens",On Sarpy creek
00010557,1938,60226,"Popkin, Zelda",Death wears a white gardenia
00010558,1938,62014,"Queen, Ellery",The devil to pay
00010559,1938,78250,"Queen, Ellery",The four of hearts
00010560,1938,86622,"Rawson, Clayton",Death from a top hat
00010561,1938,65793,"Sarton, May",The single hound
00010562,1938,88417,"Steinbeck, John",The long valley
00010563,1938,79126,"Stout, Rex",Too many cooks
00010564,1938,147954,"Stuart, Jesse",Beyond dark hills
00010565,1938,63726,"Taylor, Phoebe Atwood",Murder at the New York World's Fair
00010566,1938,57153,"Torrey, Roger",42 days for murder
00010567,1938,126972,"Wharton, Edith",The buccaneers
00010568,1939,284413,"Asch, Sholem",The Nazarene
00010569,1939,80304,"Brand, Max",Marbleface
00010570,1939,120742,"Buck, Pearl S.",The patriot
00010571,1939,59144,"Cameron, Evelyn",Dead man's shoes
00010572,1939,72663,"Carr, John Dickson",The problem of the green capsule
00010573,1939,113575,"Cheney, Brainard",Lightwood
00010574,1939,140214,"Corey, Paul",Three miles square
00010575,1939,82930,"Disney, Dorothy Cameron",Strawstack
00010576,1939,173508,"Dixon, Thomas",The flaming sword
00010577,1939,74677,"Eberhart, Mignon Good",The chiffon scarf
00010578,1939,75410,"Fast, Howard",Conceived in liberty
00010579,1939,98101,"Faulkner, William",The wild palms
00010580,1939,56415,"Gardner, Erle Stanley",The case of the perjured parrot
00010581,1939,60709,"Gardner, Erle Stanley",The case of the rolling bones
00010582,1939,102261,"Hurston, Zora Neale",Moses: man of the mountain
00010583,1939,132794,"Miller, Henry",Tropic of Capricorn
00010584,1939,33060,"Nathan, Robert",Portrait of Jennie
00010585,1939,81187,"Rawson, Clayton",The footprints on the ceiling
00010586,1939,203447,"Steinbeck, John",The grapes of wrath
00010587,1939,70968,"Stout, Rex",Double for death
00010588,1939,74063,"Stout, Rex",Mountain cat Murders
00010589,1939,75519,"Stout, Rex",Some buried Caesar
00010590,1939,8624,"Taylor, Kathrine Kressmann",Address unknown
00010591,1939,75575,"Trumbo, Dalton",Johnny got his gun
00010592,1939,159477,"Warren, Robert Penn",Night rider
00010593,1940,17372,"Bower, B. M.",The spirit of the range
00010594,1940,113147,"Bristow, Gwen",This side of glory
00010595,1940,138628,"Bromfield, Louis",Night in Bombay
00010596,1940,70389,"Burnett, W. R.",High Sierra
00010597,1940,50139,"Caldwell, Erskine",Trouble in July
00010598,1940,64627,"Carr, John Dickson",The man who could not shudder
00010599,1940,63063,"Cather, Willa",Sapphira and the slave girl
00010600,1940,88602,"Clark, Walter Van Tilburg",The Ox-Bow incident
00010601,1940,153590,"Corey, Paul",The road returns
00010602,1940,65464,"Daly, Elizabeth",Deadly nightshade
00010603,1940,64087,"Daly, Elizabeth",Unexpected night
00010604,1940,70968,"Eberhart, Mignon Good",The hangman's whip
00010605,1940,145950,"Faulkner, William",The hamlet
00010606,1940,147849,"Ferber, Edna",A peculiar treasure
00010607,1940,6971,"Gallico, Paul",The snow goose
00010608,1940,88118,"Gellhorn, Martha",A stricken field
00010609,1940,175767,"Hemingway, Ernest",For whom the bell tolls
00010610,1940,86620,"Hill, Grace Livingston",Rose Galbraith
00010611,1940,51751,"Holding, Elisabeth Sanxay",Who's afraid?
00010612,1940,68765,"Hughes, Dorothy B.",The cross-eyed bear murders
00010613,1940,56604,"Hughes, Dorothy B.",The so blue marble
00010614,1940,9449,"Kuttner, Henry",Dr. Cyclops
00010615,1940,99780,"Latimer, Jonathan",Dark memory
00010616,1940,200303,"Levin, Meyer",Citizens
00010617,1940,123078,"McCullers, Carson",The heart is a lonely hunter
00010618,1940,76260,"Paterson, Isabel",If it prove fair weather
00010619,1940,73523,"Popkin, Zelda",Time off for murder
00010620,1940,78385,"Powell, Dawn",Angels on toast
00010621,1940,76452,"Rawson, Clayton",The headless lady
00010622,1940,69477,"Reilly, Helen",The dead can tell
00010623,1940,97626,"Ross, James",They don't dance much
00010624,1940,19768,"Sperry, Armstrong",Call it courage
00010625,1940,62955,"Stout, Rex",Bad for business
00010626,1940,69252,"Stout, Rex",Over my dead body
00010627,1940,168608,"Wright, Richard",Native son
00010628,1941,68328,"Attaway, William",Blood on the forge
00010629,1941,143672,"Bell, Thomas",Out of this furnace
00010630,1941,47756,"Bowen, Robert Sidney",Dave Dawson with the R.A.F.
00010631,1941,139815,"Buck, Pearl S.",Dragon seed
00010632,1941,105237,"Cain, James M.",Mildred Pierce
00010633,1941,64190,"Daly, Elizabeth",Murders in volume 2
00010634,1941,105865,"De Camp, L. Sprague 1907-2000.  (Lyon Sprague)",Lest darkness fall
00010635,1941,86577,"Derleth, August",Village year
00010636,1941,53175,"Farley, Walter",The black stallion
00010637,1941,78534,"Fast, Howard",The last frontier
00010638,1941,100408,"Ferber, Edna",Saratoga trunk
00010639,1941,133438,"Glasgow, Ellen Anderson Gholson",In this our life
00010640,1941,185770,"Gordon, Caroline",Green centuries
00010641,1941,74660,"Hawes, Charles Boardman",The mutineers
00010642,1941,68340,"Lambert, Janet",Star spangled summer
00010643,1941,38355,"Lewis, Janet",The wife of Martin Guerre
00010644,1941,66992,"McCloy, Helen",The deadly truth
00010645,1941,83363,"Merritt, Abraham",The metal monster
00010646,1941,84708,"Myers, John Myers",The harp and the blade
00010647,1941,65272,"Palmer, Stuart",The puzzle of the happy hooligan
00010648,1941,95507,"Prouty, Olive Higgins",Now: voyager
00010649,1941,61032,"Rawson, Clayton",Death out of thin air
00010650,1941,114366,"Schulberg, Budd",What makes Sammy run?
00010651,1941,122048,"Seton, Anya",My Theodosia
00010652,1941,69923,"Short, Luke",Gunman's chance
00010653,1941,72725,"Stout, Rex",Red threads
00010654,1941,52901,"Stout, Rex",The broken vase
00010655,1941,116512,"Thomas, Newton George",The long winter ends
00010656,1942,50073,"Brand, Max",Silvertip's strike
00010657,1942,102995,"Buck, Pearl S.",The promise
00010658,1942,61275,"Carr, John Dickson",The emperor's snuff-box
00010659,1942,150539,"Cheney, Brainard",River rogue
00010660,1942,215093,"Douglas, Lloyd C.",The robe
00010661,1942,90437,"Eberhart, Mignon Good",Wolf in man's clothing
00010662,1942,116403,"Faulkner, William (1897-1962).  Auteur",Go Down Moses
00010663,1942,62133,"Gardner, Erle Stanley",The case of the counterfeit eye
00010664,1942,70278,"Gardner, Erle Stanley",The case of the curious bride
00010665,1942,76344,"Gardner, Erle Stanley",The case of the empty tin
00010666,1942,124983,"Grey, Zane",The light of western stars
00010667,1942,39939,"Hamilton, Edmond",The comet kings
00010668,1942,78091,"Hill, Grace Livingston",Crimson mountain
00010669,1942,51807,"Holding, Elisabeth Sanxay",Lady killer
00010670,1942,73145,"Hughes, Dorothy B.",The bamboo blonde
00010672,1942,68330,"Lee, Gypsy Rose",Mother finds a body
00010673,1942,30995,"Lovelace, Maud Hart",Betsy and Tacy Go Over the big hill
00010674,1942,71673,"MacDonald, William Colt",Battle at three cross
00010675,1942,56683,"Marquand, John P.",Last laugh: Mr. Moto
00010676,1942,82219,"McCarthy, Mary",The company she keeps
00010677,1942,66867,"McCloy, Helen",Who's calling?
00010678,1942,50323,"Medearis, Mary",Big Doc's girl
00010679,1942,56587,"Merritt, Abraham",Burn: witch: burn!
00010680,1942,128608,"Myers, John Myers",Out on any limb
00010681,1942,28399,"Nathan, Robert",The sea-gull cry
00010682,1942,97853,"Nin, Anais",Winter of artifice
00010683,1942,122777,"Paul, Elliot",The last time I saw Paris
00010684,1942,103510,"Powell, Dawn",A time to be born
00010685,1942,80398,"Queen, Ellery",Calamity town
